,Brand,title,storage,Ram,Front Camera,Battery,Resolutions,OS,Inches,price in EGY
0,Honor,x7a,128,4,8,5000,720 x 1600,Android,6.8,7666
1,Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,33333
2,Samsung,Galaxy A14,128,4,13,4000,1080 x 2408,Android,6.6,5899
3,Vivo,Y27,128,6,8,4000,1080 x 2388,Android,6.6,7790
4,Samsung,Galaxy A24,128,8,13,4000,1080 x 2340,Android,6.5,8699
5,Apple,iPhone 11,128,4,12,3000,1792 × 828,iOS,6.1,24499
6,Samsung,Galaxy A24,128,8,13,4000,1080 x 2340,Android,6.5,8699
7,Samsung,Galaxy A34,128,8,13,4000,1080 x 2340,Android,6.6,11499
8,Vivo,Y27,128,6,8,4000,1080 x 2388,Android,6.6,7790
9,Vivo,V27e,256,8,32,4000,1080 x 2400,Android,6.6,12990
10,Vivo,V27e,256,8,32,4000,1080 x 2400,Android,6.6,12990
11,Samsung,Galaxy A04s,64,4,5,4000,720 × 1600,Android,6.5,4859
12,Samsung,Galaxy A04s,64,4,5,4000,720 × 1600,Android,6.5,4859
13,Oppo,A17,64,4,5,4000,720 x 1612,Android,6.5,5499
14,iKU,A11,32,2,5,3000,1600 x 900,Android,6.5,3299
15,realme,C33,128,4,5,4000,720 x 1600,Android,6.5,5499
16,realme,C55,256,8,8,4000,1080 x 2400,Android,6.7,7999
17,Samsung,Galaxy A14,64,4,8,4000,1080 x 2400,Android,6.6,5540
18,Samsung,Galaxy A04s,32,3,5,4000,720 × 1600,Android,6.5,4219
19,Oppo,A55,128,4,16,4000,720 x 1600 pixels,Android,6.5,6149
20,Oppo,A55,128,4,16,4000,720 x 1600 pixels,Android,6.5,6149
21,iKU,A11,32,2,5,3000,1600 x 900,Android,6.5,3299
22,iKU,A11,32,2,5,3000,1600 x 900,Android,6.5,3299
23,Samsung,Galaxy A04s,32,3,5,4000,720 × 1600,Android,6.5,4219
24,Vivo,Y36,128,8,16,4000,1080 x 2388,Android,6.6,8790
25,Xiaomi,Redmi Note 12,256,8,13,4000,1080 x 2400,Android,6.7,9888
26,Samsung,Galaxy A34,128,8,13,4000,1080 x 2340,Android,6.6,11499
27,Honor,x7a,128,4,8,5000,720 x 1600,Android,6.8,7666
28,realme,C33,64,4,5,4000,720 x 1600,Android,6.5,5050
29,realme,C30s,32,2,5,4000,720 x 1600,Android,6.5,3399
30,realme,C30s,64,3,5,4000,720x1600,Android,6.5,3726
31,Xiaomi,Redmi Note 13,256,8,13,4000,1080 x 2400,Android,6.7,9888
32,realme,C33,64,4,5,4000,720 x 1600,Android,6.5,5050
33,iKU,A12,64,4,5,3000,,Android,6.5,3699
34,iKU,A7,16,2,5,2000,1920 x 1080,Android,6,2800
35,Xiaomi,Redmi 9A,32,2,5,4000,720 x 1600,Android,6.5,3120
36,Infinix,Smart 7,64,3,5,4000,720 x 1612,Android,6.6,3555
37,Infinix,Smart 7,64,3,5,4000,720 x 1612,Android,6.6,3555
38,Xiaomi,Poco C40,64,4,5,5000,720 x 1650,Android,6.7,5099
39,iKU,A7,16,2,5,2000,1920 x 1080,Android,6,2800
40,Oppo,A57,64,4,8,4000,720 x 1612,Android,6.5,5799
41,realme,10,256,8,16,4000,1080 x 2400,Android,6.4,8999
42,iKU,A7,16,2,5,2000,1920 x 1080,Android,6,2800
43,Honor,x7a,128,4,8,5000,720 x 1600,Android,6.8,7666
44,Xiaomi,Redmi Note 12 Pro,256,8,16,4000,1080 x 2400,Android,6.67,12199
45,realme,C33,128,4,5,4000,720 x 1600,Android,6.5,5499
46,Oppo,A17,64,4,5,4000,720 x 1612,Android,6.5,5499
47,iKU,A12,64,4,5,3000,,Android,6.5,3699
48,realme,C30s,64,3,5,4000,720x1600,Android,6.5,3726
49,iKU,A7,16,2,5,2000,1920 x 1080,Android,6,2800
50,iKU,A6,32,1,2,2000,,Android,5.4,2600
51,iKU,A6,32,1,2,2000,,Android,5.4,2600
52,Xiaomi,Redmi 9A,32,2,5,4000,720 x 1600,Android,6.5,3117
53,Samsung,Galaxy A34,256,8,13,4000,1080 x 2340,Android,6.6,12199
54,realme,9i,128,4,16,4000,1080 x 2412,Android,6.6,5886
55,Oppo,A77S,128,8,8,4000,720 x 1612,Android,6.5,8199
56,Oppo,A17K,64,3,5,4000,,Android,6.52,4999
57,Infinix,Smart 7,64,4,5,4000,720 x 1612,Android,6.6,3777
58,Infinix,Smart 7,64,4,5,4000,720 x 1612,Android,6.6,3777
59,Infinix,Smart 7,64,4,5,4000,720 x 1612,Android,6.6,3777
60,Xiaomi,Redmi 12C,64,3,5,4000,1650 × 720,Android,6.7,4499
61,realme,C51,128,4,5,4000,,Android,6.4,8565
62,realme,C53,128,6,8,4000,1080 x 2400,Android,6.7,6452
63,Oppo,A98,256,8,32,4000,1080 x 2400 ,Android,6.7,11569
64,Oppo,A77S,128,8,8,4000,720 x 1612,Android,6.5,8199
