Brand,title,storage,Ram,Front Camera,Battery,Resolutions,OS,Inches,price in EGY
Honor,x7a,128,4,8,5000,720 x 1600,Android,6.8,7666
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,33333
Samsung,Galaxy A14,128,4,13,4000,1080 x 2408,Android,6.6,5899
Vivo,Y27,128,6,8,4000,1080 x 2388,Android,6.6,7790
iKU,S2,Less,,Not,Below,,,1.8,580
Samsung,Galaxy A24,128,8,13,4000,1080 x 2340,Android,6.5,8699
realme,C25Y,64,4,8,4000,720 x 1600 pixels,Android,6.5,4399
Apple,iPhone 11,128,4,12,3000,1792 × 828,iOS,6.1,24499
realme,C21Y,64,4,5,,,Android,6.5,4099
Samsung,Galaxy A24,128,8,13,4000,1080 x 2340,Android,6.5,8699
Xiaomi,Redmi Note 11,128,6,13,4000,1080 x 2400,Android,6.4,7777
Samsung,Galaxy A34,128,8,13,4000,1080 x 2340,Android,6.6,11499
Vivo,Y27,128,6,8,4000,1080 x 2388,Android,6.6,7790
Xiaomi,Redmi A1 Plus,32,2,5,4000,720 x 1600,Android,6.5,3275
Vivo,Y02s,32,3,5,4000,720 x 1600,Android,6.5,4090
Vivo,V27e,256,8,32,4000,1080 x 2400,Android,6.6,12990
Xiaomi,Redmi Note 11,128,4,13,4000,1080 x 2400,Android,6.4,7099
Vivo,V27e,256,8,32,4000,1080 x 2400,Android,6.6,12990
Samsung,Galaxy M12,128,4,8,4000,720 x 1600 pixels,Android,6.5,5749
Samsung,Galaxy A04s,64,4,5,4000,720 × 1600,Android,6.5,4859
Infinix,Hot 30i,128,8,8,4000,720 x 1612,Android,6.5,5899
realme,C35,128,4,8,4000,1080 x 2408,Android,6.6,6099
Samsung,Galaxy A04s,64,4,5,4000,720 × 1600,Android,6.5,4859
Oppo,Reno 8 T,256,8,32,4000,1080 x 2400,Android,6.43,10799
Oppo,A17,64,4,5,4000,720 x 1612,Android,6.5,5499
Infinix,Hot 20,128,6,8,4000,720 x 1640,Android,6.8,5799
iKU,A11,32,2,5,3000,1600 x 900,Android,6.5,3299
Xiaomi,Redmi A1 Plus,32,2,5,4000,720 x 1600,Android,6.5,3275
realme,C33,128,4,5,4000,720 x 1600,Android,6.5,5499
realme,C55,256,8,8,4000,1080 x 2400,Android,6.7,7999
Samsung,Galaxy A14,64,4,8,4000,1080 x 2400,Android,6.6,5540
Samsung,Galaxy A04s,32,3,5,4000,720 × 1600,Android,6.5,4219
